product_id,product_title,rating,total_reviews,price,top_reviews
itm566994e00dfc0,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)",4.6,25,"₹1,08,985",No reviews found
itm413a5c3f30151,"Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256 GB)",4.6,270,"₹1,07,499",No reviews found
itm9ae0e397e0b0d,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",4.6,563,"₹1,08,799",No reviews found
